Turn 1, Prize = 1x Hammer
Turn 730, Prize = 35x Gem
Turn 731, Prize = 30 Min. Unlimited Lives
Turn 732, Prize = 30 Min. Unlimited Lives
Turn 733, Prize = 750x Coin
Turn 734, Prize = 1x Brush
Turn 735, Prize = 1x Hammer
Turn 736, Prize = 3x Hammer
Turn 737, Prize = 3x Brush
Turn 738, Prize = 1x Brush
Turn 739, Prize = 1x Brush
Turn 740, Prize = 1x Hammer
Turn 741, Prize = 1x Brush
Turn 742, Prize = 1x Brush
Turn 743, Prize = 1x Brush
Turn 744, Prize = 1x Hammer
Turn 745, Prize = 1x Hammer
Turn 746, Prize = 30 Min. Unlimited Lives
Turn 747, Prize = 1x Brush
Turn 748, Prize = 75x Gem
Turn 749, Prize = 750x Coin
Turn 750, Prize = 3x Brush
Turn 751, Prize = 30 Min. Unlimited Lives
Turn 752, Prize = 30 Min. Unlimited Lives
Turn 753, Prize = 75x Gem
Turn 754, Prize = 3x Hammer
Turn 755, Prize = 3x Brush
Turn 756, Prize = 1x Brush
Turn 757, Prize = 1x Brush
Turn 758, Prize = 1x Hammer
Turn 759, Prize = 1x Hammer
Turn 760, Prize = 1x Hammer
Turn 761, Prize = 75x Gem
Turn 762, Prize = 1x Brush
Turn 763, Prize = 30 Min. Unlimited Lives
Turn 764, Prize = 3x Hammer
Turn 765, Prize = 30 Min. Unlimited Lives
Turn 766, Prize = 1x Brush
Turn 767, Prize = 1x Brush
Turn 768, Prize = 750x Coin
Turn 769, Prize = 35x Gem
Turn 770, Prize = 30 Min. Unlimited Lives
Turn 771, Prize = 30 Min. Unlimited Lives
Turn 772, Prize = 1x Brush
Turn 773, Prize = 1x Brush
Turn 774, Prize = 35x Gem
Turn 775, Prize = 35x Gem
Turn 776, Prize = 1x Brush
Turn 777, Prize = 750x Coin
Turn 778, Prize = 1x Brush
Turn 779, Prize = 30 Min. Unlimited Lives
Turn 780, Prize = 30 Min. Unlimited Lives
Turn 781, Prize = 3x Hammer
Turn 782, Prize = 750x Coin
Turn 783, Prize = 75x Gem
Turn 784, Prize = 1x Brush
Turn 785, Prize = 1x Brush
Turn 786, Prize = 3x Hammer
Turn 787, Prize = 35x Gem
Turn 788, Prize = 1x Hammer
Turn 789, Prize = 1x Hammer
Turn 790, Prize = 35x Gem
Turn 791, Prize = 3x Hammer
Turn 792, Prize = 1x Brush
Turn 793, Prize = 1x Hammer
Turn 794, Prize = 1x Hammer
Turn 795, Prize = 35x Gem
Turn 796, Prize = 1x Brush
Turn 797, Prize = 30 Min. Unlimited Lives
Turn 798, Prize = 3x Hammer
Turn 799, Prize = 35x Gem
Turn 800, Prize = 1x Hammer
Turn 801, Prize = 3x Hammer
Turn 802, Prize = 1x Hammer
Turn 803, Prize = 35x Gem
Turn 804, Prize = 1x Brush
Turn 805, Prize = 3x Hammer
Turn 806, Prize = 30 Min. Unlimited Lives
Turn 807, Prize = 35x Gem
Turn 808, Prize = 1x Hammer
Turn 809, Prize = 1x Hammer
Turn 810, Prize = 35x Gem
Turn 811, Prize = 35x Gem
Turn 812, Prize = 1x Brush
Turn 813, Prize = 3x Brush
Turn 814, Prize = 35x Gem
Turn 815, Prize = 1x Brush
Turn 816, Prize = 750x Coin
Turn 817, Prize = 750x Coin
Turn 818, Prize = 750x Coin
Turn 819, Prize = 1x Brush
Turn 820, Prize = 3x Brush
Turn 821, Prize = 1x Brush
Turn 822, Prize = 30 Min. Unlimited Lives
Turn 823, Prize = 3x Hammer
Turn 824, Prize = 3x Hammer
Turn 825, Prize = 30 Min. Unlimited Lives
Turn 826, Prize = 1x Hammer
Turn 827, Prize = 35x Gem
Turn 828, Prize = 1x Hammer
Turn 829, Prize = 3x Brush
Turn 830, Prize = 1x Hammer
Turn 831, Prize = 30 Min. Unlimited Lives
Turn 832, Prize = 3x Brush
Turn 833, Prize = 3x Hammer
Turn 834, Prize = 3x Brush
Turn 835, Prize = 1x Hammer
Turn 836, Prize = 1x Brush
Turn 837, Prize = 30 Min. Unlimited Lives
Turn 838, Prize = 1x Hammer
Turn 839, Prize = 1x Brush
Turn 840, Prize = 3x Brush
Turn 841, Prize = 3x Hammer
Turn 842, Prize = 75x Gem
Turn 843, Prize = 1x Hammer
Turn 844, Prize = 750x Coin
Turn 845, Prize = 1x Hammer
Turn 846, Prize = 1x Brush
Turn 847, Prize = 1x Hammer
Turn 848, Prize = 30 Min. Unlimited Lives
Turn 849, Prize = 1x Hammer
Turn 850, Prize = 30 Min. Unlimited Lives
Turn 851, Prize = 35x Gem
Turn 852, Prize = 3x Hammer
Turn 853, Prize = 3x Hammer
Turn 854, Prize = 30 Min. Unlimited Lives
Turn 855, Prize = 750x Coin
Turn 856, Prize = 1x Hammer
Turn 857, Prize = 3x Hammer
Turn 858, Prize = 1x Hammer
Turn 859, Prize = 1x Hammer
Turn 860, Prize = 30 Min. Unlimited Lives
Turn 861, Prize = 3x Hammer
Turn 862, Prize = 30 Min. Unlimited Lives
Turn 863, Prize = 1x Hammer
Turn 864, Prize = 30 Min. Unlimited Lives
Turn 865, Prize = 30 Min. Unlimited Lives
Turn 866, Prize = 3x Hammer
Turn 867, Prize = 30 Min. Unlimited Lives
Turn 868, Prize = 30 Min. Unlimited Lives
Turn 869, Prize = 35x Gem
Turn 870, Prize = 1x Hammer
Turn 871, Prize = 1x Hammer
Turn 872, Prize = 750x Coin
Turn 873, Prize = 35x Gem
Turn 874, Prize = 1x Hammer
Turn 875, Prize = 1x Hammer
Turn 876, Prize = 1x Hammer
Turn 877, Prize = 3x Hammer
Turn 878, Prize = 30 Min. Unlimited Lives
Turn 879, Prize = 1x Hammer
Turn 880, Prize = 3x Hammer
Turn 881, Prize = 1x Brush
Turn 882, Prize = 1x Brush
Turn 883, Prize = 35x Gem
Turn 884, Prize = 3x Hammer
Turn 885, Prize = 30 Min. Unlimited Lives
Turn 886, Prize = 30 Min. Unlimited Lives
Turn 887, Prize = 1x Brush
Turn 888, Prize = 1x Hammer
Turn 889, Prize = 3x Brush
Turn 890, Prize = 1x Hammer
Turn 891, Prize = 1x Hammer
Turn 892, Prize = 1x Hammer
Turn 893, Prize = 30 Min. Unlimited Lives
Turn 894, Prize = 1x Brush
Turn 895, Prize = 1x Brush
Turn 896, Prize = 1x Hammer
Turn 897, Prize = 1x Brush
Turn 898, Prize = 1x Brush
Turn 899, Prize = 35x Gem
Turn 900, Prize = 30 Min. Unlimited Lives
Turn 901, Prize = 1x Brush
Turn 902, Prize = 30 Min. Unlimited Lives
Turn 903, Prize = 35x Gem
Turn 904, Prize = 1x Brush
Turn 905, Prize = 750x Coin
Turn 906, Prize = 1x Hammer
Turn 907, Prize = 1x Hammer
Turn 908, Prize = 30 Min. Unlimited Lives
Turn 909, Prize = 30 Min. Unlimited Lives
Turn 910, Prize = 750x Coin
Turn 911, Prize = 35x Gem
Turn 912, Prize = 1x Brush
Turn 913, Prize = 1x Hammer
Turn 914, Prize = 35x Gem
Turn 915, Prize = 3x Brush
Turn 916, Prize = 35x Gem
Turn 917, Prize = 30 Min. Unlimited Lives
Turn 918, Prize = 1x Hammer
Turn 919, Prize = 1x Hammer
Turn 920, Prize = 3x Hammer
Turn 921, Prize = 1x Brush
Turn 922, Prize = 30 Min. Unlimited Lives
Turn 923, Prize = 30 Min. Unlimited Lives
Turn 924, Prize = 3x Hammer
Turn 925, Prize = 1x Brush
Turn 926, Prize = 75x Gem
Turn 927, Prize = 750x Coin
Turn 928, Prize = 1x Brush
Turn 929, Prize = 3x Brush
Turn 930, Prize = 750x Coin
Turn 931, Prize = 1x Brush
Turn 932, Prize = 1x Hammer
Turn 933, Prize = 1x Brush
Turn 934, Prize = 3x Brush
Turn 935, Prize = 3x Brush
Turn 936, Prize = 75x Gem
Turn 937, Prize = 1x Hammer
Turn 938, Prize = 35x Gem
Turn 939, Prize = 30 Min. Unlimited Lives
Turn 940, Prize = 1x Hammer
Turn 941, Prize = 1x Brush
Turn 942, Prize = 35x Gem
Turn 943, Prize = 35x Gem
Turn 944, Prize = 3x Brush
Turn 945, Prize = 1x Brush
Turn 946, Prize = 1x Hammer
Turn 947, Prize = 1x Brush
Turn 948, Prize = 1x Brush
Turn 949, Prize = 1x Hammer
Turn 950, Prize = 1x Hammer
Turn 951, Prize = 30 Min. Unlimited Lives
Turn 952, Prize = 30 Min. Unlimited Lives
Turn 953, Prize = 1x Brush
Turn 954, Prize = 1x Hammer
Turn 955, Prize = 1x Brush
Turn 956, Prize = 30 Min. Unlimited Lives
Turn 957, Prize = 35x Gem
Turn 958, Prize = 35x Gem
Turn 959, Prize = 1x Brush
Turn 960, Prize = 35x Gem
Turn 961, Prize = 30 Min. Unlimited Lives
Turn 962, Prize = 1x Brush
Turn 963, Prize = 1x Hammer
Turn 964, Prize = 30 Min. Unlimited Lives
Turn 965, Prize = 1x Brush
Turn 966, Prize = 3x Hammer
Turn 967, Prize = 30 Min. Unlimited Lives
Turn 968, Prize = 30 Min. Unlimited Lives
Turn 969, Prize = 1x Brush
Turn 970, Prize = 3x Brush
Turn 971, Prize = 750x Coin
Turn 972, Prize = 30 Min. Unlimited Lives
Turn 973, Prize = 30 Min. Unlimited Lives
Turn 974, Prize = 1x Brush
Turn 975, Prize = 3x Brush
Turn 976, Prize = 1x Brush
Turn 977, Prize = 3x Brush
Turn 978, Prize = 75x Gem
Turn 979, Prize = 75x Gem
Turn 980, Prize = 30 Min. Unlimited Lives
Turn 981, Prize = 3x Brush
Turn 982, Prize = 1x Brush
Turn 983, Prize = 1x Hammer
Turn 984, Prize = 1x Brush
Turn 985, Prize = 30 Min. Unlimited Lives
Turn 986, Prize = 1x Hammer
Turn 987, Prize = 30 Min. Unlimited Lives
Turn 988, Prize = 35x Gem
Turn 989, Prize = 3x Brush
Turn 990, Prize = 35x Gem
Turn 991, Prize = 1x Hammer
Turn 992, Prize = 35x Gem
Turn 993, Prize = 1x Brush
Turn 994, Prize = 3x Hammer
Turn 995, Prize = 1x Hammer
Turn 996, Prize = 3x Hammer
Turn 997, Prize = 35x Gem
Turn 998, Prize = 30 Min. Unlimited Lives
Turn 999, Prize = 30 Min. Unlimited Lives
Turn 1000, Prize = 30 Min. Unlimited Lives
Prize 0 occurred 223 times.
Prize 1 occurred 91 times.
Prize 2 occurred 104 times.
Prize 3 occurred 98 times.
Prize 4 occurred 50 times.
Prize 5 occurred 190 times.
Prize 6 occurred 44 times.
Prize 7 occurred 200 times.
